,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ISOC2,0.251890702,-1.604449113,0.50253216,-3.192729222,0.00140935,0.008075545
RPS5,4.103125565,-0.337119065,0.103261626,-3.264708087,0.001095769,0.0066436
TRIM28,1.413696084,-1.266954542,0.286623138,-4.420280057,9.86E-06,0.000123413
UBE2M,0.458052262,-1.071768385,0.282212276,-3.797738349,0.000146022,0.001214751
RPS4Y1,0.892989745,-0.602886604,0.216556932,-2.783963539,0.005369907,0.023548594
UFD1,0.186020579,-1.461207862,0.534516995,-2.733697667,0.006262752,0.026356187
RANBP1,1.576737891,-1.067311031,0.174287918,-6.123838338,9.13E-10,2.46E-08
UBE2L3,0.420577247,-1.131383574,0.278151593,-4.067507075,4.75E-05,0.000465407
DDT,0.319195737,-0.836444604,0.296460734,-2.821434708,0.004780937,0.021520169
SNRPD3,0.823851488,-1.153657052,0.224818441,-5.131505426,2.87E-07,5.03E-06
UQCR10,0.76663806,-1.031740583,0.214756625,-4.804231694,1.55E-06,2.34E-05
YWHAH,0.685055344,-0.816766775,0.262108904,-3.116135175,0.001832383,0.009946639
H1F0,0.51647398,1.182014836,0.426069545,2.774229817,0.005533257,0.024096133
EIF3L,0.994460268,0.665000012,0.21711007,3.062962546,0.002191575,0.011432716
POLR2F,0.394241242,-0.998899592,0.317425665,-3.146877215,0.001650242,0.009245567
TOMM22,0.358465857,-1.23994599,0.286804108,-4.323320184,1.54E-05,0.000179842
RPL3,9.049776886,-0.314276511,0.093005493,-3.379117749,0.000727189,0.004766702
RPS19BP1,0.226143478,-1.271664578,0.367522271,-3.460102093,0.000539971,0.003694225
TNRC6B,0.552845404,0.897525916,0.330962752,2.711863829,0.006690607,0.027968748
RBX1,0.601973404,-0.692652328,0.244984909,-2.827326505,0.004693844,0.021292366
PHF5A,0.397353319,-1.189584466,0.298255881,-3.988469431,6.65E-05,0.000614459
XRCC6,1.030244802,-0.861492033,0.229816081,-3.748615105,0.000177814,0.001440924
SNU13,0.630460073,-1.103336544,0.235301867,-4.689025884,2.75E-06,3.97E-05
ATP5PF,0.683184691,-0.890028456,0.212698492,-4.184460578,2.86E-05,0.000296993
CCT8,0.929703486,-0.737331277,0.208443664,-3.537316814,0.000404214,0.002883627
SOD1,0.66619811,-0.760842856,0.23561232,-3.229215074,0.001241305,0.007330726
CBR1,0.250263766,-1.542791576,0.433031735,-3.56276793,0.000366965,0.002648071
TTC3,0.409305885,1.325934596,0.310699018,4.267585411,1.98E-05,0.000218934
PSMG1,0.245756756,-1.094790551,0.396049223,-2.764279,0.005704874,0.024800354
CSTB,0.39819103,-0.820110963,0.266820381,-3.073644371,0.002114613,0.011077389
MT-ND1,2.93822396,1.016743421,0.324943497,3.128985288,0.001754111,0.009646289
MT-ND2,1.332141774,1.025412459,0.3279576,3.126661677,0.001768033,0.009687426
MT-CO1,6.815774593,1.139562716,0.348405943,3.270790123,0.001072475,0.006534007
MT-ND3,2.138142567,1.178048522,0.320368463,3.677167566,0.000235838,0.00182265
MT-ND4,3.075233876,0.954804217,0.345562761,2.763041402,0.00572655,0.024851441
MT-ND5,0.65983898,1.082047473,0.376018482,2.877644381,0.004006565,0.018717237
MT-ND6,0.543558807,0.954567667,0.372835257,2.560293451,0.010458381,0.039758659
MT-CYB,3.274318337,1.177012735,0.329781717,3.569066069,0.000358256,0.002592697
