gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
SORT1,129.0642224,5.591006471,0.256246384,21.81886971,1.54E-105,9.68E-105
PSMA5,3.545470519,-0.493096043,0.171307803,-2.878421381,0.003996709,0.004595454
CYB561D1,44.96509456,4.069644649,0.246590315,16.50366781,3.45E-61,1.14E-60
GNAI3,109.2855079,5.075521436,0.220406281,23.02802537,2.44E-117,1.75E-116
GNAT2,29.33560427,3.446181316,0.280747772,12.27500859,1.23E-34,2.61E-34
AMPD2,26.47470294,3.188200786,0.260705505,12.2291272,2.17E-34,4.57E-34
GSTM4,13.3198648,2.243547133,0.241984839,9.271436777,1.84E-20,3.08E-20
GSTM2,116.26222,5.438821548,0.269912252,20.15033225,2.67E-90,1.37E-89
GSTM1,15.23483347,2.480707191,0.212427601,11.67789485,1.65E-31,3.34E-31
GSTM5,161.3832816,5.914095144,0.191519064,30.87992929,2.22E-209,3.95E-208
GSTM3,147.7744586,5.445654785,0.174013266,31.2944806,5.55E-215,1.04E-213
CSF1,8.515049485,1.597905066,0.242177129,6.598084111,4.17E-11,5.88E-11
AHCYL1,2.325801733,-0.74843361,0.167934008,-4.456712594,8.32E-06,1.04E-05
STRIP1,54.59127009,4.331373029,0.198639668,21.80517652,2.07E-105,1.30E-104
KCNC4,26.03201488,3.227370794,0.244093364,13.22187027,6.56E-40,1.51E-39
RBM15,139.0955661,5.688573372,0.22057335,25.78993958,1.15E-146,1.16E-145
LAMTOR5-AS1,15.10305457,2.430243557,0.215827897,11.2600993,2.07E-29,4.02E-29
LAMTOR5,864.810223,7.531258361,0.162322426,46.39690617,0,0
LRIF1,8.361942929,1.564504354,0.222047099,7.045822073,1.84E-12,2.68E-12
CEPT1,76.6483626,4.792489943,0.218207338,21.96300997,6.50E-107,4.17E-106
PIFO,68.93032367,4.691874248,0.226412404,20.72269086,2.16E-95,1.19E-94
WDR77,17.60548006,2.609663158,0.236499876,11.03452232,2.60E-28,4.98E-28
RAP1A,2.394342088,-0.750483425,0.163251466,-4.597100694,4.28E-06,5.36E-06
DDX20,50.56836075,4.178311657,0.249258541,16.76296279,4.55E-63,1.55E-62
WNT2B,203.0977398,6.247156124,0.179522153,34.79880353,2.54E-265,7.10E-264
ST7L,18.33271515,2.668481788,0.262856523,10.15185682,3.25E-24,5.82E-24
CAPZA1,307.1630804,6.355700267,0.169378357,37.52368583,0,0
MOV10,2.613760785,-0.356163174,0.157790626,-2.257188412,0.023996304,0.026745137
RHOC,86.99892305,3.855590665,0.245074094,15.73234689,9.08E-56,2.75E-55
SLC16A1,77.46097434,4.765988349,0.218226591,21.83963159,9.75E-106,6.17E-105
LRIG2,49.71428454,4.205905427,0.246819813,17.04038822,4.12E-65,1.45E-64
MAGI3,2.060729874,-0.793852412,0.162658403,-4.88048817,1.06E-06,1.35E-06
PHTF1,584.7800998,7.711652956,0.174789664,44.11961667,0,0
RSBN1,11.88988613,2.053653747,0.230773684,8.898994514,5.64E-19,9.16E-19
AP4B1-AS1,2.076190881,-0.79436945,0.16543847,-4.801600552,1.57E-06,1.99E-06
BCL2L15,214.4987952,6.336942641,0.167770498,37.77149565,0,0
AP4B1,1.794727079,-1.045509987,0.149740484,-6.982146451,2.91E-12,4.20E-12
DCLRE1B,5.603585019,0.887910611,0.190909438,4.650951892,3.30E-06,4.15E-06
HIPK1,15.91608239,2.448682427,0.241356047,10.14551929,3.47E-24,6.21E-24
OLFML3,23.4081552,3.041306597,0.265173192,11.46913295,1.89E-30,3.74E-30
SYT6,5.432934307,0.911725084,0.221907335,4.108584711,3.98E-05,4.87E-05
