gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
MKRN1,9.070650402,1.609058083,0.161937508,9.93629025,2.89E-23,5.10E-23
DENND2A,40.24256681,3.908309542,0.237635344,16.44666773,8.86E-61,2.90E-60
NDUFB2,84.94699815,4.097854631,0.20372936,20.11420754,5.54E-90,2.83E-89
BRAF,6.762401301,1.017007699,0.20724612,4.907246016,9.24E-07,1.18E-06
MRPS33,20.81573975,2.569373205,0.250215106,10.26865741,9.76E-25,1.76E-24
TMEM178B,11.41853046,2.048364145,0.240107055,8.531045235,1.45E-17,2.30E-17
AGK,119.095683,5.420934247,0.197450221,27.45468814,6.11E-166,7.53E-165
MTRNR2L6,40.55537426,3.918746759,0.1945972,20.13773459,3.45E-90,1.76E-89
GSTK1,4.935947257,0.498273124,0.212948398,2.339877307,0.019290076,0.021595029
CASP2,9.506956423,1.722601545,0.212221295,8.117006077,4.78E-16,7.38E-16
ZYX,28.72184352,3.223738111,0.153328591,21.02502927,3.87E-98,2.23E-97
OR2A1-AS1,1.755016538,-1.173374678,0.136541669,-8.593528171,8.43E-18,1.34E-17
TPK1,21.21217006,2.921420931,0.236675138,12.34359026,5.28E-35,1.13E-34
CNTNAP2,89.58804436,5.016470557,0.239907751,20.90999788,4.34E-97,2.47E-96
CUL1,11.24450024,1.879523132,0.219723939,8.554020736,1.19E-17,1.88E-17
PDIA4,41.36706741,3.752086177,0.22409565,16.74323524,6.34E-63,2.15E-62
ZNF786,21.27941551,2.963794831,0.235717327,12.57351284,2.95E-36,6.41E-36
ZNF425,170.6519344,5.984189669,0.171878826,34.81632842,1.38E-265,3.88E-264
ZNF398,36.07237844,3.7265577,0.252857259,14.73779206,3.69E-49,1.00E-48
ZNF282,12.89173869,2.192262194,0.233411894,9.392247119,5.87E-21,9.92E-21
ZNF212,57.38608678,4.392421299,0.212278187,20.69181653,4.10E-95,2.25E-94
ZNF783,6.280177834,1.108249747,0.223327014,4.962452721,6.96E-07,8.91E-07
ZNF746,78.89075848,4.866562312,0.254708947,19.10636582,2.24E-81,1.01E-80
ZNF862,160.4377381,5.905881932,0.215183242,27.44582655,7.79E-166,9.60E-165
ATP6V0E2,8.929828817,1.658202235,0.229914323,7.212261561,5.50E-13,8.08E-13
ACTR3C,41.31702666,3.946623599,0.251480238,15.6935735,1.67E-55,5.04E-55
RARRES2,115.8256064,5.444859602,0.234189131,23.24983903,1.43E-119,1.05E-118
REPIN1,1021.635727,8.497749144,0.158295185,53.68292875,0,0
TMEM176B,60.46358527,4.501565905,0.236557579,19.0294723,9.72E-81,4.36E-80
ATG9B,9.506150182,1.769649196,0.239706944,7.382552899,1.55E-13,2.30E-13
ABCB8,35.76386968,3.638708845,0.237369458,15.32930512,4.87E-53,1.41E-52
CDK5,33.31349081,3.548310437,0.214335997,16.5548974,1.48E-61,4.92E-61
AGAP3,12.88621484,2.150886973,0.240951288,8.926646489,4.39E-19,7.15E-19
ABCF2,21.15743943,2.741864148,0.225112828,12.17995513,3.98E-34,8.35E-34
SMARCD3,59.8642198,4.372281898,0.233886768,18.6940114,5.54E-78,2.38E-77
NUB1,67.05017406,4.498068817,0.228910398,19.64991047,5.79E-86,2.80E-85
WDR86,243.0277158,6.517450626,0.197362338,33.02276764,3.83E-239,8.58E-238
RHEB,28.08867,2.827613943,0.243090311,11.63194837,2.84E-31,5.71E-31
PRKAG2,27.47968062,3.245004726,0.246980915,13.13868612,1.98E-39,4.50E-39
GALNTL5,12.98021013,2.243882606,0.256550728,8.746350557,2.20E-18,3.54E-18
GALNT11,22.31325132,2.934193808,0.251954523,11.64572784,2.41E-31,4.86E-31
KMT2C,11.1282957,1.92074673,0.245511266,7.823456577,5.14E-15,7.82E-15
XRCC2,20.73086453,2.899963349,0.182435077,15.89586496,6.77E-57,2.09E-56
ACTR3B,118.3718041,5.442587531,0.226909667,23.98570149,3.92E-127,3.17E-126
PAXIP1-AS2,4.186015548,0.519006302,0.218013634,2.380613962,0.017283814,0.019380983
PAXIP1,104.6878513,5.287237726,0.227631743,23.22715482,2.42E-119,1.77E-118
PAXIP1-AS1,9.028726534,1.683153335,0.237983146,7.072573666,1.52E-12,2.21E-12
INSIG1,45.62876306,3.955874674,0.256004845,15.452343,7.28E-54,2.13E-53
EN2,169.7676564,5.998254521,0.225344387,26.61816703,4.18E-156,4.67E-155
CNPY1,15.10294351,2.467413111,0.23662278,10.42762286,1.85E-25,3.39E-25
AC009403.2,5.156104985,0.826141805,0.218934852,3.773459541,0.000160999,0.000193899
RBM33,62.05028382,4.374034746,0.228754314,19.12110279,1.69E-81,7.65E-81
LMBR1,22.30154309,2.978300721,0.204145893,14.58907979,3.30E-48,8.80E-48
NOM1,32.78215338,3.501548029,0.258328727,13.55462116,7.44E-42,1.77E-41
UBE3C,75.21921715,4.595020901,0.225956751,20.33584254,6.20E-92,3.24E-91
DNAJB6,16.20240766,2.176714692,0.237865102,9.151046858,5.64E-20,9.35E-20
PTPRN2,123.7836131,5.530435571,0.229775755,24.06883864,5.30E-128,4.35E-127
ESYT2,42.94689118,3.877444884,0.261522044,14.82645527,9.88E-50,2.71E-49
WDR60,8.122424087,1.500059965,0.234903628,6.385852701,1.70E-10,2.37E-10
FBXO25,22.81391954,2.974168997,0.247539517,12.01492605,2.97E-33,6.15E-33
TDRP,15.85258293,2.49172132,0.244906563,10.17417128,2.59E-24,4.64E-24
ERICH1,145.0612314,5.655068771,0.181202291,31.2085943,8.15E-214,1.52E-212
CLN8,21.25215351,2.924976978,0.217842712,13.42701327,4.20E-41,9.86E-41
ARHGEF10,30.47322218,3.415315373,0.258020181,13.23662108,5.39E-40,1.24E-39
KBTBD11,13.83273466,2.320982716,0.237309251,9.78041399,1.37E-22,2.38E-22
MYOM2,69.84881817,4.700434444,0.219289373,21.43484829,6.32E-102,3.84E-101
MCPH1,14.36441522,2.153156455,0.249485005,8.630404296,6.11E-18,9.75E-18
ANGPT2,55.8588834,4.342316483,0.233591839,18.58933302,3.92E-77,1.67E-76
AGPAT5,5.481079157,0.871411466,0.226364739,3.849590139,0.000118316,0.000143095
FAM66B,35.37191267,3.718716321,0.234698494,15.84465355,1.53E-56,4.69E-56
FAM85B,38.65871035,3.849935157,0.234610922,16.40987182,1.63E-60,5.31E-60
MFHAS1,173.4275831,5.922681317,0.215956457,27.42534948,1.37E-165,1.68E-164
ERI1,5.838824608,0.962502227,0.217596698,4.423331035,9.72E-06,1.21E-05
PPP1R3B,50.11224134,4.227640094,0.169755347,24.9043118,6.68E-137,6.09E-136
LINC00599,14.8926068,2.446889252,0.248126329,9.861465563,6.12E-23,1.07E-22
PINX1,2.599721752,-0.397175864,0.178446624,-2.225740414,0.026031574,0.028954165
XKR6,12.75020782,2.156199844,0.179698477,11.99898785,3.60E-33,7.44E-33
AF131215.3,27.19222987,3.336091294,0.21737931,15.34686669,3.72E-53,1.08E-52
AF131215.5,16.05940411,2.559975727,0.238272004,10.7439216,6.33E-27,1.19E-26
AF131215.4,45.93800432,4.101960597,0.221289066,18.53666187,1.05E-76,4.42E-76
FAM167A,36.4676599,3.764640588,0.257281967,14.63235311,1.75E-48,4.68E-48
NEIL2,9.437446914,1.738734699,0.245785736,7.074188803,1.50E-12,2.19E-12
FDFT1,38.20940815,3.799856618,0.264061586,14.39003937,5.98E-47,1.57E-46
CTSB,10.61406721,1.275050256,0.223016321,5.717295718,1.08E-08,1.45E-08
FAM86B1,1654.37182,9.254871251,0.148182104,62.45606581,0,0
FAM86B2,14.45047917,2.398227731,0.250617715,9.569266604,1.08E-21,1.85E-21
LONRF1,12.28916866,2.160397665,0.225154084,9.595196432,8.38E-22,1.44E-21
DLC1,49.11449298,3.324053219,0.213430769,15.57438616,1.09E-54,3.24E-54
C8orf48,4.745874363,0.686662951,0.212797914,3.226831216,0.001251693,0.001464621
TUSC3,67.4537256,4.428366121,0.243123594,18.21446472,3.96E-74,1.61E-73
MICU3,235.1747602,6.405431969,0.188291906,34.01862626,1.18E-253,2.97E-252
ZDHHC2,67.62823171,4.579746226,0.217095016,21.09558436,8.73E-99,5.06E-98
CNOT7,53.1448035,4.179149014,0.209434119,19.95448034,1.37E-88,6.87E-88
VPS37A,7.111383722,1.151295238,0.22593375,5.095720481,3.47E-07,4.49E-07
MTMR7,17.04209548,2.644660964,0.229090813,11.54415984,7.90E-31,1.58E-30
SLC7A2,2.412074408,-0.457957382,0.177758417,-2.576290845,0.00998666,0.011308088
MTUS1,21.40231447,2.98423873,0.272218417,10.96266287,5.78E-28,1.10E-27
PCM1,180.5991959,5.866147408,0.180616696,32.47843386,2.15E-231,4.56E-230
ASAH1,5.009203342,0.661392232,0.221605075,2.984553631,0.002839924,0.003283086
PSD3,11.67582109,1.122676117,0.224991652,4.989856773,6.04E-07,7.75E-07
INTS10,6.316185708,1.013044394,0.190625876,5.314306839,1.07E-07,1.40E-07
LPL,31.45881688,3.548718332,0.266645643,13.30874297,2.06E-40,4.77E-40
SLC18A1,49.33545732,4.205071102,0.229576213,18.31666721,6.09E-75,2.50E-74
ATP6V1B2,48.60092295,4.090188282,0.257084053,15.90992612,5.41E-57,1.67E-56
LZTS1,215.50969,6.32224197,0.194622426,32.48465302,1.76E-231,3.73E-230
XPO7,11.05908495,1.976703602,0.2424961,8.151486144,3.59E-16,5.56E-16
REEP4,57.30010032,4.379757894,0.21156817,20.70140273,3.36E-95,1.85E-94
BMP1,49.82959827,4.113429248,0.21979987,18.71442985,3.78E-78,1.63E-77
PIWIL2,51.49797748,4.267970444,0.261448693,16.32431354,6.63E-60,2.14E-59
SLC39A14,12.17743795,1.997243862,0.235377726,8.485271313,2.15E-17,3.40E-17
PPP3CC,43.3251746,3.90219221,0.266678169,14.63258961,1.74E-48,4.67E-48
SORBS3,26.99535995,3.169375888,0.236743255,13.38739677,7.16E-41,1.67E-40
PDLIM2,10.87924004,1.338530552,0.227218843,5.890931124,3.84E-09,5.19E-09
C8orf58,80.62369028,4.887722577,0.21800114,22.42062851,2.48E-111,1.66E-110
CCAR2,4.33080715,0.514589808,0.209583083,2.455302217,0.014076619,0.015820548
BIN3,472.3388447,7.383593802,0.191436797,38.56935517,0,0
RHOBTB2,16.37069413,2.553916208,0.250930835,10.17776952,2.49E-24,4.47E-24
TNFRSF10B,153.387683,5.757076316,0.202773619,28.39164363,2.56E-177,3.52E-176
TNFRSF10D,217.0521496,6.217073659,0.214899915,28.93008898,5.00E-184,7.18E-183
CHMP7,73.68270962,4.705812826,0.244022562,19.28433496,7.27E-83,3.38E-82
R3HCC1,14.39142803,2.192587914,0.21306269,10.29081117,7.75E-25,1.40E-24
LOXL2,59.60364521,4.032802164,0.24982906,16.14224607,1.29E-58,4.08E-58
ENTPD4,133.9950557,5.602442774,0.205851165,27.21598765,4.20E-163,5.04E-162
NKX3-1,38.8764358,3.804775698,0.231430009,16.44028671,9.85E-61,3.22E-60
STC1,112.3876357,5.346815319,0.247538019,21.59997617,1.80E-103,1.11E-102
NEFM,39.20176996,3.85929098,0.258941546,14.9041011,3.10E-50,8.58E-50
NEFL,33.03353197,3.620680883,0.248404334,14.57575566,4.01E-48,1.07E-47
DOCK5,2.670181085,-0.738357737,0.168054957,-4.393549289,1.12E-05,1.38E-05
KCTD9,22.2368255,2.785083564,0.24146675,11.53402513,8.89E-31,1.78E-30
CDCA2,8.622408192,1.46073699,0.224399311,6.509543103,7.54E-11,1.06E-10
AC090103.1,75.39734382,4.822329271,0.224550598,21.47546842,2.64E-102,1.61E-101
EBF2,11.5939296,2.07097357,0.228740261,9.053821843,1.38E-19,2.27E-19
PPP2R2A,52.34397135,4.062202667,0.249422068,16.28646051,1.23E-59,3.97E-59
BNIP3L,14.35290486,2.016354837,0.171347649,11.76762473,5.73E-32,1.16E-31
PNMA2,49.42179124,4.207464315,0.222728256,18.89057268,1.36E-79,5.99E-79
DPYSL2,7.234182305,1.1372767,0.211962995,5.365449288,8.07E-08,1.06E-07
ADRA1A,5.760355827,1.001990794,0.222683523,4.499618027,6.81E-06,8.48E-06
STMN4,16.99113441,2.642156242,0.254496608,10.38189177,3.00E-25,5.46E-25
TRIM35,33.67397214,3.616129821,0.252539287,14.3190783,1.66E-46,4.33E-46
EPHX2,117.3937916,5.463469301,0.192406418,28.39546288,2.30E-177,3.16E-176
CLU,42.43739061,3.374824264,0.18581108,18.16266425,1.02E-73,4.11E-73
SCARA3,14.00257207,2.149962133,0.226592365,9.488237309,2.35E-21,4.00E-21
CCDC25,74.98488044,4.668138446,0.187270962,24.92718788,3.78E-137,3.46E-136
ESCO2,11.31995353,1.972823072,0.235074612,8.392327255,4.77E-17,7.48E-17
NUGGC,20.00266618,2.883163073,0.237125899,12.15878604,5.15E-34,1.08E-33
ELP3,4.473024289,0.536352823,0.22216802,2.414176547,0.015770819,0.017704499
ZNF395,34.8384491,3.676525073,0.247581423,14.84976149,6.98E-50,1.92E-49
FBXO16,91.90680282,5.109072007,0.252567153,20.22856873,5.49E-91,2.83E-90
FZD3,42.6259983,3.992522463,0.209985687,19.01330761,1.32E-80,5.92E-80
EXTL3,21.60244428,2.953071497,0.254142095,11.61976528,3.27E-31,6.57E-31
INTS9,28.90818974,3.349779602,0.243462111,13.758936,4.50E-43,1.10E-42
HMBOX1,34.62294999,3.666523954,0.203907689,17.98129323,2.73E-72,1.08E-71
KIF13B,14.87100551,2.419466111,0.246499446,9.815300405,9.67E-23,1.69E-22
DUSP4,8.577604873,1.517093015,0.23716126,6.396883775,1.59E-10,2.21E-10
LEPROTL1,25.08966817,3.144819201,0.256187807,12.27544449,1.23E-34,2.60E-34
DCTN6,24.71206621,2.974940837,0.23143743,12.85419058,8.15E-38,1.81E-37
RBPMS,26.31683365,3.128858451,0.253288736,12.3529317,4.70E-35,1.00E-34
GTF2E2,35.72253201,3.575959828,0.240791575,14.85085112,6.87E-50,1.89E-49
GSR,238.2205383,6.393838848,0.221184712,28.90723687,9.68E-184,1.39E-182
UBXN8,13.3464844,2.26443929,0.248807731,9.101161281,8.94E-20,1.48E-19
PPP2CB,2.820976166,-0.586139464,0.168537781,-3.477792704,0.000505561,0.000600288
TEX15,35.8734129,3.741064299,0.262570088,14.24786929,4.62E-46,1.19E-45
PURG,7.087098592,1.324347646,0.233298955,5.67661199,1.37E-08,1.84E-08
WRN,73.64340717,4.592427293,0.22247688,20.64226764,1.15E-94,6.23E-94
NRG1,43.27189496,3.279714875,0.250450387,13.09526774,3.50E-39,7.95E-39
FUT10,63.42594272,4.517766194,0.21311834,21.19839241,9.88E-100,5.79E-99
MAK16,18.04454865,2.667357791,0.26228418,10.16972429,2.71E-24,4.85E-24
RNF122,4.288244701,0.528953218,0.212923232,2.484243801,0.012982689,0.014610735
UNC5D,32.29903735,3.586555998,0.211714486,16.94053188,2.26E-64,7.86E-64
ZNF703,30.68680196,3.45916692,0.269865379,12.8181204,1.30E-37,2.87E-37
ERLIN2,47.83388966,4.107164843,0.242030501,16.96961673,1.38E-64,4.81E-64
RAB11FIP1,67.24357372,4.645029073,0.259535666,17.89745948,1.23E-71,4.83E-71
EIF4EBP1,30.58368522,2.872322708,0.250613239,11.46117705,2.07E-30,4.10E-30
ASH2L,8.505198513,1.515178174,0.242310202,6.253051502,4.03E-10,5.56E-10
STAR,81.70949172,4.938713419,0.269662913,18.31439613,6.35E-75,2.60E-74
LSM1,22.43185544,2.799934967,0.253674644,11.03750428,2.52E-28,4.82E-28
DDHD2,26.94325893,3.266484172,0.202728577,16.11259849,2.08E-58,6.58E-58
LETM2,6.325387847,1.110414835,0.222601396,4.988355223,6.09E-07,7.81E-07
FGFR1,182.7088834,5.86519484,0.196525719,29.84441355,1.04E-195,1.64E-194
TACC1,43.6359703,3.850351894,0.233507677,16.48918759,4.39E-61,1.45E-60
PLEKHA2,24.32389169,3.105796164,0.225496797,13.77312764,3.70E-43,9.05E-43
TM2D2,113.2986371,5.259647588,0.19994455,26.30553116,1.66E-152,1.77E-151
ADAM9,6.575406018,0.842365207,0.221235937,3.807542377,0.000140355,0.000169392
ADAM32,28.98360598,3.385645044,0.243850851,13.88408133,7.91E-44,1.96E-43
ZMAT4,16.34791119,2.585846091,0.227932751,11.34477637,7.87E-30,1.54E-29
SFRP1,15.30236276,2.476773043,0.236565579,10.46971015,1.19E-25,2.19E-25
GOLGA7,21.41772541,2.727612281,0.242602583,11.24312957,2.50E-29,4.87E-29
GINS4,4.266362436,0.470510894,0.20230916,2.325702376,0.020034434,0.022412169
KAT6A,14.62623707,2.300375312,0.240113909,9.580350101,9.67E-22,1.66E-21
AP3M2,44.48154666,3.98877334,0.258765673,15.41461546,1.31E-53,3.81E-53
PLAT,8.406031091,1.525570035,0.232140323,6.571758052,4.97E-11,7.01E-11
IKBKB,2.331473159,-0.678076995,0.15677566,-4.325142012,1.52E-05,1.88E-05
POLB,13.79337565,2.311145696,0.2456833,9.407011767,5.10E-21,8.64E-21
VDAC3,114.9228985,5.15902116,0.200952044,25.67289719,2.35E-145,2.34E-144
SLC20A2,12.52962304,1.876105202,0.228826175,8.198822537,2.43E-16,3.77E-16
THAP1,37.50120363,3.762523251,0.254046991,14.81034372,1.26E-49,3.44E-49
RNF170,4.507672948,0.547435884,0.218786592,2.502145485,0.012344319,0.013909596
HOOK3,30.59910522,3.272439737,0.21803796,15.00857802,6.45E-51,1.81E-50
FNTA,116.9961649,5.219639222,0.205661183,25.3797977,4.22E-142,4.06E-141
POMK,124.7840363,5.541437549,0.204587845,27.08585918,1.45E-161,1.70E-160
HGSNAT,4.359358265,0.443901421,0.213304463,2.081069544,0.037427541,0.041249621
SPIDR,37.00661605,3.58998562,0.266169004,13.48761715,1.85E-41,4.37E-41
PRKDC,238.8270291,6.103627705,0.197081567,30.97005877,1.36E-210,2.46E-209
UBE2V2,43.8688863,3.64126236,0.243946318,14.92649036,2.22E-50,6.16E-50
SNTG1,80.82404611,4.923186447,0.251468769,19.57772518,2.39E-85,1.15E-84
PCMTD1,49.716731,4.151820338,0.198612502,20.90412381,4.91E-97,2.78E-96
ST18,47.29542065,4.143683793,0.198751085,20.84860964,1.57E-96,8.82E-96
RB1CC1,36.38715101,3.557938799,0.191476383,18.58160647,4.53E-77,1.92E-76
OPRK1,330.9913272,6.96364222,0.211335224,32.95069363,4.13E-238,9.13E-237
ATP6V1H,4.968321485,0.521948097,0.225963173,2.309881246,0.02089473,0.023367351
RGS20,141.9181243,5.548950283,0.199830831,27.76823901,1.05E-169,1.35E-168
TCEA1,5.850698032,0.520724248,0.219040408,2.377297659,0.017440008,0.019550078
LYPLA1,40.02370498,3.737129013,0.240256864,15.55472319,1.48E-54,4.39E-54
MRPL15,279.2876671,6.442707949,0.188261314,34.22215537,1.13E-256,2.94E-255
XKR4,144.7351474,5.767355741,0.200049337,28.82966681,9.11E-183,1.30E-181
TMEM68,58.72809005,4.426614884,0.243129561,18.20681479,4.56E-74,1.85E-73
TGS1,41.34102477,3.831100286,0.242364533,15.80718203,2.78E-56,8.47E-56
RPS20,20.25279622,0.581344988,0.239861362,2.423670835,0.015364525,0.017255519
PLAG1,38.4190913,3.837788026,0.168275541,22.80657066,3.95E-115,2.76E-114
CHCHD7,21.27264415,2.799589233,0.231127762,12.11273457,9.04E-34,1.89E-33
IMPAD1,74.76167966,4.588275297,0.215631188,21.27834725,1.80E-100,1.07E-99
FAM110B,16.68183741,2.497403872,0.245566176,10.16998316,2.70E-24,4.84E-24
UBXN2B,29.52347654,3.422807902,0.251548375,13.60695692,3.64E-42,8.73E-42
SDCBP,2.31575305,-1.050459111,0.158349856,-6.633786341,3.27E-11,4.63E-11
NSMAF,20.76826206,2.833714097,0.244153489,11.60628141,3.83E-31,7.69E-31
TOX,45.392847,3.986775801,0.234941274,16.96924402,1.39E-64,4.84E-64
CA8,36.14469737,3.752843793,0.226994978,16.53271726,2.13E-61,7.08E-61
CHD7,47.98499466,4.153867671,0.237724166,17.47347668,2.28E-68,8.49E-68
AC022182.2,2.440453378,-0.525138403,0.184357186,-2.848483504,0.004392813,0.005045027
CLVS1,52.45464778,4.284390556,0.23370992,18.3320869,4.59E-75,1.89E-74
ASPH,127.8823531,4.544258642,0.187115505,24.28584758,2.77E-130,2.33E-129
NKAIN3,4.788324142,0.690729462,0.202757136,3.40668385,0.000657572,0.000777385
GGH,52.25438916,4.213893319,0.251718358,16.74050852,6.64E-63,2.25E-62
YTHDF3,58.98652178,4.350761694,0.242693531,17.92697842,7.26E-72,2.85E-71
ARMC1,13.03798362,2.06902393,0.230826013,8.963564816,3.14E-19,5.14E-19
MTFR1,27.44363137,3.26705115,0.159809069,20.44346519,6.87E-93,3.63E-92
PDE7A,46.27942051,4.068802896,0.230854918,17.62493485,1.59E-69,6.01E-69
RRS1,45.87550231,3.995074473,0.214321491,18.64056867,1.51E-77,6.44E-77
ADHFE1,102.5536093,5.268429494,0.212455972,24.79774729,9.48E-136,8.53E-135
MYBL1,15.45881443,2.4077032,0.24383846,9.874173248,5.39E-23,9.46E-23
VCPIP1,6.882792227,1.262718195,0.236530187,5.338507572,9.37E-08,1.23E-07
SNHG6,26.16268598,2.469614724,0.25294851,9.763310042,1.62E-22,2.81E-22
COPS5,7.234743113,1.132236217,0.227448819,4.977982395,6.43E-07,8.23E-07
CSPP1,8.227797637,1.475587635,0.245923174,6.000197582,1.97E-09,2.68E-09
ARFGEF1,48.54898568,3.996436137,0.233907638,17.08553072,1.90E-65,6.75E-65
PREX2,34.27413617,3.674502956,0.274459462,13.38814459,7.09E-41,1.66E-40
C8orf34,53.50833496,4.31344152,0.242516987,17.78614182,9.05E-71,3.49E-70
SULF1,23.12375126,2.678758006,0.26090665,10.26711279,9.91E-25,1.79E-24
SLCO5A1,27.71854746,3.363562518,0.254343018,13.22451287,6.33E-40,1.45E-39
NCOA2,77.89743714,4.76367817,0.236366179,20.15380619,2.49E-90,1.28E-89
LACTB2,126.9559449,5.503361363,0.167169953,32.92075676,1.11E-237,2.45E-236
XKR9,75.05874663,4.815960812,0.234293605,20.55523799,6.91E-94,3.71E-93
EYA1,4.444353846,0.589005558,0.211640061,2.78305325,0.005384997,0.006160436
TERF1,128.4037353,5.562330293,0.196455832,28.31338852,2.36E-176,3.22E-175
SBSPON,24.84547992,3.202714205,0.230579588,13.88984269,7.30E-44,1.81E-43
RDH10,75.67709655,4.805563453,0.166481313,28.8654827,3.24E-183,4.63E-182
STAU2,24.68457627,3.044346989,0.233820349,13.02002586,9.41E-39,2.12E-38
UBE2W,12.7298158,2.081807691,0.238797923,8.717863493,2.84E-18,4.55E-18
TMEM70,11.17366319,1.93477355,0.224667044,8.611737261,7.20E-18,1.15E-17
JPH1,29.73796388,3.466495277,0.232433853,14.91390017,2.68E-50,7.42E-50
GDAP1,25.72833965,3.230146541,0.195267761,16.54213949,1.82E-61,6.06E-61
CRISPLD1,61.72991519,4.531862787,0.223433655,20.2828119,1.82E-91,9.48E-91
CASC9,127.2335444,5.579758001,0.155895814,35.79158317,1.49E-280,4.61E-279
ZFHX4-AS1,17.1774431,2.646290881,0.236264013,11.2005669,4.05E-29,7.86E-29
ZFHX4,13.9073646,2.278480915,0.233069603,9.775967703,1.43E-22,2.48E-22
PEX2,74.16250265,4.694705084,0.251882811,18.6384496,1.57E-77,6.70E-77
PKIA,7.097009236,1.192563447,0.221099879,5.393777031,6.90E-08,9.04E-08
ZC2HC1A,31.38745712,3.502229722,0.263261068,13.30325727,2.22E-40,5.13E-40
STMN2,6.498754082,1.19818093,0.228850264,5.235654571,1.64E-07,2.14E-07
MRPS28,99.11876668,5.095498339,0.2631903,19.3605096,1.66E-83,7.79E-83
TPD52,9.617731392,1.788979569,0.228565523,7.826987824,5.00E-15,7.60E-15
ZBTB10,24.26012332,3.147202751,0.243229358,12.93923881,2.70E-38,6.05E-38
PAG1,28.5537563,3.407495946,0.212347471,16.04679315,6.02E-58,1.89E-57
FABP5,71.61714006,3.942205815,0.223202984,17.66197634,8.23E-70,3.13E-69
IMPA1,99.70955616,5.145350934,0.242766765,21.19462661,1.07E-99,6.27E-99
ZFAND1,9.338672161,1.666721795,0.209934057,7.939263492,2.03E-15,3.12E-15
SNX16,9.53677759,1.752241754,0.246025847,7.122185626,1.06E-12,1.55E-12
RALYL,27.69815999,3.363072923,0.230484101,14.59134453,3.19E-48,8.52E-48
LRRCC1,4.495239138,0.573560463,0.213159829,2.69075306,0.007129094,0.008124895
E2F5,46.6346896,4.123870441,0.227415775,18.13361645,1.73E-73,6.96E-73
CA3,30.53759268,3.483454517,0.230132317,15.13674638,9.27E-52,2.63E-51
CA2,7.571104825,1.427504929,0.215746273,6.616591361,3.68E-11,5.20E-11
WWP1,8.986445026,1.620210611,0.233335193,6.943704431,3.82E-12,5.51E-12
RMDN1,2.728316571,-0.465246698,0.177200352,-2.625540476,0.008651152,0.009816321
CPNE3,70.56821268,4.478938715,0.217174848,20.62365301,1.68E-94,9.12E-94
MMP16,1019.65316,8.493331502,0.149624231,56.76441214,0,0
RIPK2,9.396308719,1.683811582,0.21588464,7.799589558,6.21E-15,9.43E-15
OSGIN2,4.411334583,0.505643929,0.2123496,2.381186166,0.017256988,0.019352899
NBN,119.8829117,5.348764487,0.216520522,24.70326804,9.86E-135,8.72E-134
TMEM64,9.448499573,1.75848382,0.228363835,7.700360345,1.36E-14,2.05E-14
NECAB1,30.01350365,3.479530474,0.267144558,13.02489745,8.83E-39,1.99E-38
OTUD6B,5.348775841,0.832936825,0.222791154,3.738644063,0.000185015,0.000222428
LRRC69,4.110595964,0.413187365,0.204270579,2.02274536,0.043099408,0.047375783
RUNX1T1,6.856860595,1.236984213,0.243833417,5.073070906,3.91E-07,5.05E-07
TRIQK,65.54358464,4.586209563,0.242031698,18.94879721,4.52E-80,2.00E-79
RBM12B,49.94347822,4.222888311,0.183769167,22.97930814,7.51E-117,5.34E-116
TMEM67,9.197857969,1.700743367,0.232887395,7.302857116,2.82E-13,4.16E-13
PDP1,4.785656879,0.65316283,0.21107064,3.094522433,0.0019713,0.002290122
RAD54B,45.76579297,4.074836692,0.20386241,19.98817086,6.98E-89,3.51E-88
DPY19L4,21.54532311,2.946593916,0.254634296,11.57186585,5.72E-31,1.15E-30
INTS8,11.36746038,1.95483902,0.216160257,9.043471037,1.52E-19,2.50E-19
CCNE2,5.91032244,0.99101203,0.225383915,4.396995359,1.10E-05,1.36E-05
NDUFAF6,84.71162249,4.896666203,0.176322146,27.77113553,9.68E-170,1.24E-168
TP53INP1,29.92949756,3.452296432,0.185106833,18.6502917,1.26E-77,5.38E-77
C8orf37,30.43033296,3.489071419,0.195883602,17.81196271,5.71E-71,2.21E-70
PTDSS1,13.36144808,2.17570502,0.233497225,9.317905274,1.19E-20,2.00E-20
SDC2,46.76707619,3.953575168,0.236944084,16.6856885,1.67E-62,5.61E-62
MTDH,66.72806789,4.120722354,0.239162614,17.2297931,1.59E-66,5.73E-66
LAPTM4B,34.34946942,3.551111489,0.235701318,15.06615032,2.70E-51,7.61E-51
MATN2,10.09615398,1.826521227,0.228808759,7.982741722,1.43E-15,2.20E-15
RPL30,83.44256345,2.18994707,0.209438821,10.45626146,1.37E-25,2.52E-25
POP1,16.70963506,2.60291145,0.233621831,11.14155914,7.87E-29,1.52E-28
STK3,2.267099808,-0.825905836,0.159919874,-5.164497794,2.41E-07,3.13E-07
VPS13B,46.68934026,3.869845307,0.233477957,16.57477799,1.06E-61,3.54E-61
COX6C,21.02069742,1.968453907,0.247282164,7.960355404,1.72E-15,2.63E-15
SPAG1,5.778385598,0.991580139,0.234575362,4.227128252,2.37E-05,2.91E-05
RNF19A,16.62358806,2.534271209,0.245753775,10.31223717,6.20E-25,1.12E-24
ANKRD46,6.25898729,1.117315782,0.225447301,4.955995387,7.20E-07,9.21E-07
PABPC1,24.2277309,2.300471929,0.220744744,10.42141203,1.98E-25,3.62E-25
